run,step,config_name,ckpt_path,seed,error,_res_PDB_FID,_res_PDB_fJSD_C,_res_PDB_fJSD_A,_res_PDB_fJSD_T,_res_AFDB_FID,_res_AFDB_fJSD_C,_res_AFDB_fJSD_A,_res_AFDB_fJSD_T,_res_fS_C,_res_fS_A,_res_fS_T,_res_diversity_n_bins,_res_diversity_clusters_mean,_res_diversity_clusters_median,_res_diversity_clusters_total,_res_novelty_n,_res_novelty_rate,_res_novelty_max_tm_mean,_res_novelty_max_tm_median,_res_designability_n,_res_scRMSD_mean,_res_scRMSD_median,_res_designability_rate,_res_tm_score_self_mean,_res_plddt_mean,_res_plddt_median
repa_l0_512_sm,750000,inference/inference_fid_60m_repa_l0_512_sm_lite,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_layer0_v2/checkpoints/chk_epoch=00000007_step=000000750000-EMA.ckpt,42,,943.1124267578124,0.3232382110165208,1.3817148092071103,3.866192279603952,897.3650512695312,0.3914888461297808,1.5520845204989528,3.9877204050605854,1.7173436880111694,4.054608345031738,7.6327924728393555,1,200.0,200.0,200,200,0.75,0.4294471148052644,0.4122726683105741,,,,,,,
repa_l9_512_sm,750000,inference/inference_fid_60m_repa_l9_512_sm_lite,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_layer9_v2/checkpoints/chk_epoch=00000007_step=000000750000-EMA.ckpt,42,,964.4415283203124,0.4442569845555932,1.3425360267864637,4.213381018827595,935.7373657226562,0.2767473403248273,1.2003567959617405,4.524531095632699,1.766250491142273,3.784579277038574,10.197446823120115,1,200.0,200.0,200,200,0.605,0.4637615391877822,0.4561533277684992,,,,,,,
repa_l4_512_sm,750000,inference/inference_fid_60m_repa_l4_512_sm_lite,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_v2/checkpoints/chk_epoch=00000007_step=000000750000-EMA.ckpt,42,,1108.9293212890625,0.7298597307642405,1.962488892723322,4.395052549066186,1072.6658935546875,0.3324976238172899,1.550508451309006,4.43536217489778,1.7535452842712402,3.271662712097168,7.203664302825928,1,200.0,200.0,200,200,0.73,0.4311956113475755,0.4092387963425029,50,18.03236057281494,18.438103675842285,0.0,0.3544114685058593,0.3462604379653931,0.3321674764156341
baseline_512_sm,500000,inference/inference_fid_60m_baseline_512_sm_lite,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000007_step=000000500000-EMA.ckpt,42,,1317.843017578125,2.8798353126756773,3.343613608012826,6.201884261161091,1281.72607421875,1.9371819837505908,2.4544108882679305,6.195032334166961,1.0757575035095217,1.6116173267364502,4.452931880950928,1,200.0,200.0,200,200,0.64,0.4519975426603254,0.4460975442613873,50,19.508438301086425,19.52025985717773,0.0,0.2817910149693489,0.3141247200965881,0.3116574287414551
