run,layer,cath_level,cath_accuracy,cath_macro_f1,cath_n_classes
random_gauss,-2,A,0.1286031042128603,0.051655465451419455,21
random_gauss,-2,C,0.3259423503325942,0.2008233980931377,5
random_gauss,-2,T,0.056790123456790124,0.006542164889922561,116
seq_onehot,-3,A,0.2926829268292683,0.07760236289093397,21
seq_onehot,-3,C,0.5454545454545454,0.3265497223359473,5
seq_onehot,-3,T,0.1259259259259259,0.0036994468016542242,116
untrained_proteina,-19,A,0.2682926829268293,0.11632932501000305,21
untrained_proteina,-18,A,0.25942350332594233,0.11325688810038623,21
untrained_proteina,-17,A,0.2638580931263858,0.11420189926898928,21
untrained_proteina,-16,A,0.2660753880266075,0.11506577541049043,21
untrained_proteina,-15,A,0.2793791574279379,0.11965806425849568,21
untrained_proteina,-14,A,0.28159645232815966,0.12050492939552082,21
untrained_proteina,-13,A,0.270509977827051,0.11173260525471408,21
untrained_proteina,-12,A,0.2682926829268293,0.11122338138701357,21
untrained_proteina,-11,A,0.2749445676274945,0.11331214879934907,21
untrained_proteina,-10,A,0.270509977827051,0.10982204813535497,21
untrained_proteina,-19,C,0.4212860310421286,0.3410425173832292,5
untrained_proteina,-18,C,0.4146341463414634,0.33729744948304985,5
untrained_proteina,-17,C,0.4190687361419069,0.33929017638857456,5
untrained_proteina,-16,C,0.41685144124168516,0.33801927796744957,5
untrained_proteina,-15,C,0.42572062084257206,0.3438983590300778,5
untrained_proteina,-14,C,0.43237250554323725,0.34783566592375953,5
untrained_proteina,-13,C,0.43458980044345896,0.3358087541643931,5
untrained_proteina,-12,C,0.43680709534368073,0.3366434621798707,5
untrained_proteina,-11,C,0.42350332594235035,0.32815194008144066,5
untrained_proteina,-10,C,0.4190687361419069,0.3256794411677305,5
untrained_proteina,-19,T,0.21728395061728395,0.09219199143267011,116
untrained_proteina,-18,T,0.2123456790123457,0.09176939763477308,116
untrained_proteina,-17,T,0.2123456790123457,0.09148270453010669,116
untrained_proteina,-16,T,0.2123456790123457,0.09136749832459047,116
untrained_proteina,-15,T,0.21728395061728395,0.09203000169044312,116
untrained_proteina,-14,T,0.2123456790123457,0.08957045488240598,116
untrained_proteina,-13,T,0.20493827160493827,0.08917010503296727,116
untrained_proteina,-12,T,0.20987654320987653,0.08830641492114466,116
untrained_proteina,-11,T,0.19506172839506172,0.07596722240678866,116
untrained_proteina,-10,T,0.19012345679012346,0.07201896982147933,116
