run,step,layer,t,dim,p_at_L_5_linear,p_at_L_5_mlp,p_at_L,p_at_L_2,p_at_L_5,contact_n_test,cath_level,cath_acc,cath_f1,cath_classes,manifest,ckpt_path,error
baseline_256,400000,0,0.50,512,0.1706,0.1641,0.1323,0.1444,0.1641,39,T,0.7000,0.6074,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,
baseline_256,400000,1,0.50,512,0.2066,0.2224,0.1614,0.1831,0.2224,39,T,0.8000,0.7185,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,
baseline_256,400000,2,0.50,512,0.2193,0.2513,0.1902,0.2086,0.2513,39,T,0.8000,0.7778,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,
baseline_256,400000,3,0.50,512,0.2431,0.2506,0.1848,0.2142,0.2506,39,T,0.7000,0.5926,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,
baseline_256,400000,4,0.50,512,0.2508,0.2379,0.1826,0.2139,0.2379,39,T,0.6000,0.5259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,
baseline_256,400000,5,0.50,512,0.2505,0.2517,0.1841,0.2186,0.2517,39,T,0.7000,0.6481,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,
baseline_256,400000,6,0.50,512,0.2326,0.2424,0.1817,0.2135,0.2424,39,T,0.7000,0.6481,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,
baseline_256,400000,7,0.50,512,0.2429,0.2428,0.1786,0.2118,0.2428,39,T,0.7000,0.6481,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,
baseline_256,400000,8,0.50,512,0.2421,0.2447,0.1788,0.2088,0.2447,39,T,0.7000,0.6481,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,
baseline_256,400000,9,0.50,512,0.2415,0.2503,0.1799,0.2154,0.2503,39,T,0.7000,0.6481,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,
