run,step,layer,t,probe_kind,head_type,n_train,n_eval,n_proteins_test,p_at_L_5,p_at_L_2,p_at_L,cath_level,cath_accuracy,cath_macro_f1,cath_top1_conf_mean,cath_n_classes,cath_n_train,cath_n_eval,cath_n_eval_in_vocab,cath_n_eval_oov,if_top1_acc,if_macro_f1,if_n_residues_test,dih_mae_phi_deg,dih_mae_psi_deg,dih_mae_total_deg,dih_n_residues_test,dist_mae_total,dist_mae_short,dist_mae_medium,dist_mae_long,dist_n_pairs_test,dim,probe_seed,ckpt_path,train_manifest,eval_manifest
baseline_256_bs24_2gpu_step1000k,1000000,4,1.0,cath,,1000,3190,,,,,C,0.7034082668600435,0.4468498905044188,0.9156770973188207,5,434,1379,1379,0,,,,,,,,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_clean_v1_s1042,eval_v1
baseline_256_bs24_2gpu_step1000k,1000000,4,1.0,cath,,1000,3190,,,,,A,0.402069475240207,0.20894768586582713,0.7811958335769463,19,426,1379,1353,26,,,,,,,,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_clean_v1_s1042,eval_v1
baseline_256_bs24_2gpu_step1000k,1000000,4,1.0,cath,,1000,3190,,,,,T,0.33291457286432163,0.15195186151355108,0.6973309669017599,38,273,1379,796,583,,,,,,,,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_clean_v1_s1042,eval_v1
baseline_256_bs24_2gpu_step1000k,1000000,5,1.0,cath,,1000,3190,,,,,C,0.6954314720812182,0.44146862932170283,0.9119274122386793,5,434,1379,1379,0,,,,,,,,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_clean_v1_s1042,eval_v1
baseline_256_bs24_2gpu_step1000k,1000000,5,1.0,cath,,1000,3190,,,,,A,0.3961566888396157,0.20810711148101663,0.7858818932769484,19,426,1379,1353,26,,,,,,,,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_clean_v1_s1042,eval_v1
baseline_256_bs24_2gpu_step1000k,1000000,5,1.0,cath,,1000,3190,,,,,T,0.33291457286432163,0.14042843200099261,0.7006713694813683,38,273,1379,796,583,,,,,,,,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_clean_v1_s1042,eval_v1
baseline_256_bs24_2gpu_step1000k,1000000,6,1.0,cath,,1000,3190,,,,,C,0.700507614213198,0.44453174036846593,0.9152869507650104,5,434,1379,1379,0,,,,,,,,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_clean_v1_s1042,eval_v1
baseline_256_bs24_2gpu_step1000k,1000000,6,1.0,cath,,1000,3190,,,,,A,0.3924611973392461,0.2071798877556925,0.7865389805886487,19,426,1379,1353,26,,,,,,,,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_clean_v1_s1042,eval_v1
baseline_256_bs24_2gpu_step1000k,1000000,6,1.0,cath,,1000,3190,,,,,T,0.32663316582914576,0.1387160715749165,0.7018242938013016,38,273,1379,796,583,,,,,,,,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_clean_v1_s1042,eval_v1
baseline_256_bs24_2gpu_step1000k,1000000,7,1.0,cath,,1000,3190,,,,,C,0.700507614213198,0.444803540106632,0.9170450520652504,5,434,1379,1379,0,,,,,,,,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_clean_v1_s1042,eval_v1
baseline_256_bs24_2gpu_step1000k,1000000,7,1.0,cath,,1000,3190,,,,,A,0.3946784922394678,0.20769449728056164,0.7973826337754204,19,426,1379,1353,26,,,,,,,,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_clean_v1_s1042,eval_v1
baseline_256_bs24_2gpu_step1000k,1000000,7,1.0,cath,,1000,3190,,,,,T,0.3228643216080402,0.13281559724341968,0.7032394732553563,38,273,1379,796,583,,,,,,,,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_clean_v1_s1042,eval_v1
