layer,dim,rankme,mean_norm,sparsity
0,512,46.88058090209961,19.471328735351562,0.0
1,512,42.136539459228516,20.578657150268555,0.0
2,512,58.72298049926758,17.500513076782227,0.0
3,512,78.6799545288086,11.63277816772461,0.0
4,512,57.0130729675293,8.91557788848877,0.0
5,512,34.87751007080078,10.92807388305664,0.0
