run,layer,dih_mae_total_deg
repa_mpnn_l4_128_bs80_step200k,3,23.91666316986084
repa_l9_128_bs80_steplast,2,24.256003379821777
repa_l4_128_bs80_lambda2_steplast,2,24.80019474029541
repa_l9_128_bs80_step200k,2,24.883024215698242
repa_l9_128_per_residue_step400k,3,25.83096408843994
repa_l4_128_bs80_wd1e2_step200k,3,26.148064613342285
repa_l4_128_per_residue_step400k,3,26.297077178955078
repa_l4_128_bs80_lambda025_step200k,3,26.566819190979004
repa_l4_128_bs80_step200k,3,26.89505958557129
repa_l4_128_pw_torsional_step100k,3,27.312119483947754
repa_l0_128_bs80_steplast,2,27.663207054138184
repa_l0_128_bs80_step200k,2,27.926408767700195
baseline_128_bs80_step200k,2,28.077082633972168
repa_l4_128_pw_structure_step100k,4,28.444669723510742
repa_l4_128_bs80_lambda1_step200k,4,28.62645435333252
repa_l4_128_bs24_step400k,3,28.962225914001465
repa_l4_128_random_step200k,2,29.07317352294922
repa_l4_128_bs24_step200k,2,29.61758518218994
repa_mpnn_l4_afdb_128_bs80_step400k,4,31.49112033843994
repa_mpnn_l4_afdb_128_bs80_step200k,8,31.739404678344727
repa_l4_afdb_128_bs80_step200k,9,32.605024337768555
pretrained_dfs_60m,2,32.896257400512695
baseline_128_bs24_step400k,1,34.70275020599365
baseline_afdb_128_bs80_step200k,9,37.48779487609863
repa_l0_128_per_residue_step400k,3,37.5617733001709
repa_l4_128_bs80_lr3x_steplast,3,38.5747766494751
baseline_afdb_128_bs80_step400k,5,38.99179458618164
baseline_128_bs24_step200k,1,54.18074417114258
baseline_128_bs80_lr3x_step200k,2,59.792802810668945
