layer,dim,rankme,mean_norm,sparsity
0,512,51.725799560546875,82.0491943359375,0.0
1,512,79.5584487915039,35.987796783447266,0.0
2,512,47.783565521240234,264.6647644042969,0.0
3,512,42.34786605834961,1380.27685546875,0.0
4,512,34.68472671508789,24379.8125,0.0
5,512,9.602804183959961,1451946.75,0.0
