target,trainer/global_step,train/loss_step,train/repa/loss_step,train/repa/cos_sim_layer_4_step
100000,99500.0,-0.20284700393676758,-0.8463112711906433,0.8463112711906433
200000,199500.0,-0.2056587189435959,-0.8463022112846375,0.8463022112846375
400000,399500.0,-0.27439939975738525,-0.8513760566711426,0.8513760566711426
700000,699500.0,-0.30803120136260986,-0.8861225843429565,0.8861225843429565
1000000,999500.0,-0.3488782048225403,-0.9022307395935059,0.9022307395935059
1200000,1199500.0,-0.3189307153224945,-0.8746621608734131,0.8746621608734131
1300000,1299500.0,-0.2875620126724243,-0.8670462369918823,0.8670462369918823
