run_label	group	dataset	max_len	layer	encoder	lambda_repa	averaging	combination_mode	lr	batch_size	accum	n_gpu	eff_bs	prev_step	latest_numbered_step	last_ema_step	bs_notes	store_dir	notes
baseline_afdb_128_bs80	NEW n128_paper_afdb	afdb_swissprot_lmdb_128_bs40							0.0001	40	1	1x2	80	-	500000	553000	eff bs 80 via per-GPU bs 40 x 2 GPU; training ongoing: 53000 steps past last numbered ckpt	proteina_60m_baseline_afdb_128_bs80_2gpu
repa_l4_afdb_128_bs80	NEW n128_paper_afdb	afdb_swissprot_lmdb_128_bs40		4	gearnet	0.5	per_residue	additive	0.0001	40	1	1x2	80	-	200000	283500	eff bs 80 via per-GPU bs 40 x 2 GPU; training ongoing: 83500 steps past last numbered ckpt	proteina_60m_repa_l4_128_afdb_per_residue_bs80_2gpu
repa_mpnn_l4_afdb_128_bs80	NEW n128_paper_afdb	afdb_swissprot_lmdb_128_bs40		4	mpnn	0.5	per_residue	additive	0.0001	40	1	1x2	80	-	500000	500500	eff bs 80 via per-GPU bs 40 x 2 GPU	proteina_60m_repa_mpnn_l4_128_afdb_per_residue_bs80_2gpu
baseline_256	n256_paper_esm / _mpnn / _pdb / _random	pdb_lmdb_256	256						0.0001	24	1	1x1	24	400k	600000	612500	training ongoing: 12500 steps past last numbered ckpt	proteina_60m_baseline_256
baseline_afdb_256	n256_paper_afdb	afdb_swissprot_lmdb_256_bs12							0.0001	12	1	1x2	24	200k	900000	955500	eff bs 24 via per-GPU bs 12 x 2 GPU; training ongoing: 55500 steps past last numbered ckpt	proteina_60m_baseline_afdb_swissprot_256
repa_l4_256_per_residue	n256_paper_averaging/_esm/_l4_step300k/_l4_step500k/_lambda/_mpnn/_pdb	pdb_lmdb_256	256	4	gearnet	0.5	per_residue	additive	0.0001	24	1	1x1	24	300k,400k,500k	500000	122500	last-EMA step (122500) < latest numbered (500000): Lightning resume reset counter — last-EMA is stale	proteina_60m_repa_l4_256_per_residue
repa_l0_256_per_residue	n256_paper_averaging / _pdb	pdb_lmdb_256	256	0		0.5	per_residue	additive	0.0001	12	1	1x1	12	400k	400000	70000	last-EMA step (70000) < latest numbered (400000): Lightning resume reset counter — last-EMA is stale	proteina_60m_repa_l0_256_per_residue
repa_l9_256_per_residue	n256_paper_averaging / _pdb / _random	pdb_lmdb_256	256	9		0.5	per_residue	additive	0.0001	12	1	1x1	12	300k,400k	400000	59500	last-EMA step (59500) < latest numbered (400000): Lightning resume reset counter — last-EMA is stale	proteina_60m_repa_l9_256_per_residue
repa_l4_256_per_sample	n256_paper_averaging	pdb_lmdb_256	256	4	gearnet	0.5	per_sample	additive	0.0001	24	1	1x1	24	400k	400000	56000	last-EMA step (56000) < latest numbered (400000): Lightning resume reset counter — last-EMA is stale	proteina_60m_repa_l4_256_per_sample
repa_l0_256_per_sample	n256_paper_averaging	pdb_lmdb_256	256	0	gearnet	0.5	per_sample	additive	0.0001	24	1	1x1	24	last=381.5k	300000	381500	training ongoing: 81500 steps past last numbered ckpt	proteina_60m_repa_l0_256_per_sample
repa_l9_256_per_sample	n256_paper_averaging	pdb_lmdb_256	256	9	gearnet	0.5	per_sample	additive	0.0001	24	1	1x1	24	last=385k	300000	385000	training ongoing: 85000 steps past last numbered ckpt	proteina_60m_repa_l9_256_per_sample
repa_l4_afdb_256	n256_paper_afdb	afdb_swissprot_lmdb_256_bs12		4	gearnet	0.5	per_residue	additive	0.0001	12	1	1x2	24	200k	700000	749000	eff bs 24 via per-GPU bs 12 x 2 GPU; training ongoing: 49000 steps past last numbered ckpt	proteina_60m_repa_l4_256_afdb_per_residue
repa_l4_256_lambda1	n256_paper_lambda	pdb_lmdb_256	256	4	gearnet	1.0	per_residue	additive	0.0001	24	1	1x1	24	300k	400000	441000	training ongoing: 41000 steps past last numbered ckpt	proteina_60m_repa_l4_256_per_residue_lambda1
repa_l4_256_lambda2	n256_paper_lambda	pdb_lmdb_256	256	4	gearnet	2.0	per_residue	additive	0.0001	24	1	1x1	24	200k	300000	364000	training ongoing: 64000 steps past last numbered ckpt	proteina_60m_repa_l4_256_per_residue_lambda2
repa_l4_256_random	n256_paper_random	pdb_lmdb_256	256	4	gearnet	0.5	per_residue	additive	0.0001	24	1	1x1	24	200k	200000	220500	training ongoing: 20500 steps past last numbered ckpt	proteina_60m_repa_l4_256_per_residue_random
repa_mpnn_l4_256	n256_paper_mpnn	pdb_lmdb_256	256	4	mpnn	0.5	per_residue	additive	0.0001	24	1	1x1	24	300k	800000	885500	training ongoing: 85500 steps past last numbered ckpt	proteina_60m_repa_mpnn_l4_256_per_residue
repa_esm_l9_256_t30	n256_paper_esm	pdb_lmdb_256_bs12	256	9	esm	0.5	per_residue	additive	0.0001	12	1	1x1	12	last=322k	300000	322000	training ongoing: 22000 steps past last numbered ckpt	proteina_60m_repa_esm_l9_t30_256_per_residue
repa_l4_256_lambda025	NEW n256_paper_lambda	pdb_lmdb_256	256	4	gearnet	0.25	per_residue	additive	0.0001	24	1	1x1	24	-	200000	269500	training ongoing: 69500 steps past last numbered ckpt	proteina_60m_repa_l4_256_per_residue_lambda025
repa_mpnn_l4_afdb_256	NEW n256_paper_afdb (mpnn-aligned)	afdb_swissprot_lmdb_256_bs12		4	mpnn	0.5	per_residue	additive	0.0001	12	1	1x2	24	-	400000	434000	eff bs 24 via per-GPU bs 12 x 2 GPU; training ongoing: 34000 steps past last numbered ckpt	proteina_60m_repa_mpnn_l4_256_afdb_per_residue
repa_mpnn_l4_afdb_256_bs80	NEW n256_paper_afdb (mpnn-aligned bs80)	afdb_swissprot_lmdb_256_bs10		4	mpnn	0.5	per_residue	additive	0.0001	10	4	1x2	80	-	100000	143500	eff bs 80 via per-GPU bs 10 x 4 accum x 2 GPU; training ongoing: 43500 steps past last numbered ckpt	proteina_60m_repa_mpnn_l4_256_afdb_per_residue_bs80_2gpu
repa_l9_afdb_256	NEW n256_paper_afdb													-				proteina_60m_repa_l9_256_afdb_per_residue	no checkpoints/
repa_mpnn_l9_afdb_256	NEW n256_paper_afdb	afdb_swissprot_lmdb_256_bs12		9	mpnn	0.5	per_residue	additive	0.0001	12	1	1x2	24	-	700000	756000	eff bs 24 via per-GPU bs 12 x 2 GPU; training ongoing: 56000 steps past last numbered ckpt	proteina_60m_repa_mpnn_l9_256_afdb_per_residue
baseline_256_bs24	NEW n256_paper_clean_bs	pdb_lmdb_256_bs12	256						0.0001	12	1	1x2	24	-	800000	833000	eff bs 24 via per-GPU bs 12 x 2 GPU; training ongoing: 33000 steps past last numbered ckpt	proteina_60m_baseline_256_bs24_2gpu
repa_l4_256_bs24	NEW n256_paper_clean_bs	pdb_lmdb_256_bs12	256	4	gearnet	0.5	per_residue	additive	0.0001	12	1	1x2	24	-	500000	500500	eff bs 24 via per-GPU bs 12 x 2 GPU	proteina_60m_repa_l4_256_per_residue_bs24_2gpu
repa_l4_256_bs80	NEW n256_paper_clean_bs	pdb_lmdb_256_bs10	256	4	gearnet	0.5	per_residue	additive	0.0001	10	4	1x2	80	-	100000	105000	eff bs 80 via per-GPU bs 10 x 4 accum x 2 GPU; training ongoing: 5000 steps past last numbered ckpt	proteina_60m_repa_l4_256_per_residue_bs80_2gpu
repa_l4_256_random_bs24	NEW n256_paper_clean_bs	pdb_lmdb_256_bs12	256	4	gearnet	0.5	per_residue	additive	0.0001	12	1	1x2	24	-	100000	189000	eff bs 24 via per-GPU bs 12 x 2 GPU; training ongoing: 89000 steps past last numbered ckpt	proteina_60m_repa_l4_256_per_residue_random_bs24_2gpu
