n	run	N_gen	N_des	ss_jsd_pdb_3bin	ss_jsd_pdb_2d	ss_jsd_afdb_3bin	ss_jsd_afdb_2d	ss_jsd_pdb_des_3bin	ss_jsd_pdb_des_2d	ss_jsd_afdb_des_3bin	ss_jsd_afdb_des_2d
256	repa_l4_afdb_256_ep20	1125	171	0.01559	0.14980	0.00538	0.08993	0.01796	0.18099	0.00738	0.12462
256	repa_l9_256_ep17	1125	10	0.00349	0.05624	0.00270	0.04125	0.16217	0.58013	0.12269	0.51319
256	repa_l9_256_ep25	1125	121	0.04341	0.19151	0.02319	0.13432	0.11112	0.53583	0.07829	0.48773
256	repa_l9_256_per_sample_steplast	1125	82	0.04053	0.21292	0.02107	0.15648	0.14450	0.50773	0.10629	0.41583
256	repa_mpnn_l4_256_per_residue_step300k	1125	103	0.02523	0.26696	0.01378	0.21369	0.04628	0.41351	0.02787	0.35976
?	baseline_128	200	50	0.00361	0.09736	0.00179	0.07611	0.00796	0.25913	0.00246	0.23232
?	baseline_128_bs80	200	23	0.06340	0.36738	0.03920	0.31376	0.18934	0.72103	0.14608	0.65452
?	baseline_128_bs80	200	67	0.00597	0.25917	0.00450	0.27135	0.00741	0.40716	0.00359	0.45742
?	baseline_256	240	14	0.17791	0.67183	0.13571	0.59678	0.23044	0.79573	0.18367	0.73451
?	baseline_256_ep21_des	100	0	0.03882	0.32319	0.05866	0.37225	nan	nan	nan	nan
?	baseline_512_sm	200	0	0.14583	0.70108	0.10787	0.65128	nan	nan	nan	nan
?	foldseek_sanity_baseline_128	200	0	0.00627	0.20859	0.01827	0.22987	nan	nan	nan	nan
?	inference_fid_60m_baseline	5760	0	0.07001	0.37349	0.04464	0.30632	nan	nan	nan	nan
?	inference_fid_60m_repa	5760	0	0.08416	0.34201	0.05578	0.27084	nan	nan	nan	nan
?	inference_fid_60m_repa_840k	5760	0	0.08844	0.37332	0.05867	0.29026	nan	nan	nan	nan
?	inference_fid_60m_repa_layer0	5760	0	0.02742	0.25848	0.01326	0.19935	nan	nan	nan	nan
?	inference_fid_60m_repa_layer0_840k	5760	0	0.05744	0.33265	0.03391	0.23405	nan	nan	nan	nan
?	inference_fid_60m_repa_layer9	5760	0	0.05255	0.34747	0.03039	0.26530	nan	nan	nan	nan
?	inference_fid_60m_repa_layer9_840k	5760	0	0.04733	0.35460	0.02610	0.26720	nan	nan	nan	nan
?	repa_l0_128	200	54	0.03861	0.30658	0.06339	0.37483	0.07853	0.55101	0.11148	0.64535
?	repa_l0_256	240	1	0.03536	0.32905	0.01775	0.24133	0.22808	0.92118	0.18227	0.86935
?	repa_l0_512_sm	200	0	0.04806	0.42666	0.02678	0.34110	nan	nan	nan	nan
?	repa_l4_128	200	76	0.02209	0.19173	0.04167	0.25034	0.02127	0.23102	0.04073	0.27698
?	repa_l4_128_bs80	200	41	0.04405	0.30511	0.07009	0.36465	0.08757	0.52589	0.12179	0.63916
?	repa_l4_128_bs80	200	59	0.00018	0.14810	0.00203	0.12913	0.00240	0.27926	0.01064	0.27561
?	repa_l4_128_bs80_lr3x	200	50	0.04939	0.35662	0.07675	0.42502	0.05233	0.49727	0.08039	0.55781
?	repa_l4_128_bs80_lr3x	200	47	0.07761	0.42279	0.11031	0.50166	0.10300	0.54286	0.13948	0.63169
?	repa_l4_128_random	200	24	0.05520	0.31670	0.03262	0.27799	0.22565	0.77302	0.17928	0.70961
?	repa_l4_128_random	200	37	0.01251	0.22840	0.02586	0.27436	0.00291	0.35513	0.00474	0.35826
?	repa_l4_256	240	10	0.03394	0.37959	0.01747	0.29337	0.06390	0.56550	0.04010	0.45679
?	repa_l4_512_sm	200	0	0.07961	0.45136	0.05142	0.37101	nan	nan	nan	nan
?	repa_l9_128	200	77	0.07087	0.34739	0.10244	0.42441	0.09169	0.40698	0.12665	0.49577
?	repa_l9_256	240	18	0.04163	0.31227	0.02244	0.23157	0.04897	0.40304	0.02752	0.31957
?	repa_l9_512_sm	200	0	0.08009	0.49437	0.05202	0.40514	nan	nan	nan	nan
