variant,dataset,step_filter,rep_metric,gen_metric,n,pearson_r,pearson_p,spearman_r,spearman_p,partial_spearman_r_ctrl_step,partial_spearman_p_ctrl_step
cath_if_dih,PDB,0,cath_C_top1,_res_PDB_FID,129,-0.37469556122488673,1.2156309767383419e-05,-0.23868508406574993,0.006448806911720043,-0.20312023502294527,0.02096196403205808
cath_if_dih,PDB,0,cath_C_top1,_res_AFDB_FID,129,-0.31470452860970405,0.00028089909210548023,-0.19905102951608664,0.023730802412353737,-0.14359012892917977,0.10449949272992316
cath_if_dih,PDB,0,cath_C_top1,_res_designability_rate,129,0.4444281690594513,1.319245518573275e-07,0.22860198314168223,0.00916740729677218,0.1869915008287886,0.03384641395062901
cath_if_dih,PDB,0,cath_A_top1,_res_PDB_FID,129,-0.40954672572913114,1.4399523626363837e-06,-0.3187464212893036,0.0002318367793001413,-0.18148954621366936,0.03955288017613279
cath_if_dih,PDB,0,cath_A_top1,_res_AFDB_FID,129,-0.34823975816406266,5.252924451424658e-05,-0.2724287523237623,0.0017878877977447341,-0.12409809041075223,0.16115819146873553
cath_if_dih,PDB,0,cath_A_top1,_res_designability_rate,129,0.47351471332326395,1.45017402584499e-08,0.3548510151336872,3.687971748457775e-05,0.23752989910227965,0.006718837163125157
cath_if_dih,PDB,0,cath_T_top1,_res_PDB_FID,129,-0.36196037881354637,2.498960848087489e-05,-0.31111684301524034,0.0003323299155486654,-0.15212993767737668,0.08523658720561766
cath_if_dih,PDB,0,cath_T_top1,_res_AFDB_FID,129,-0.2998804934593296,0.0005551067458660785,-0.26054462822583935,0.0028628072993622336,-0.0922093161072934,0.2986564628625839
cath_if_dih,PDB,0,cath_T_top1,_res_designability_rate,129,0.4242284783349235,5.439840641682615e-07,0.3294096322765883,0.0001378949410303146,0.18228343239234956,0.03868275186634277
cath_if_dih,PDB,0,if_top1_acc,_res_PDB_FID,129,-0.47293907162640253,1.518016186400767e-08,-0.43506098989053166,2.5739626944809174e-07,-0.21115999723494347,0.016300179274800552
cath_if_dih,PDB,0,if_top1_acc,_res_AFDB_FID,129,-0.4031773411340084,2.16575693633899e-06,-0.39236848095390536,4.247789844698047e-06,-0.16686536421372425,0.05875087389277307
cath_if_dih,PDB,0,if_top1_acc,_res_designability_rate,129,0.6153630470539145,8.522826997966713e-15,0.556958080981248,7.1614047606777684e-12,0.4096400414420616,1.4312775693774699e-06
cath_if_dih,PDB,0,dih_mae_total_deg,_res_PDB_FID,129,0.332230366482208,0.00011980128309442675,0.3300827105485248,0.00013335999686750867,0.274661185191074,0.001632715845754175
cath_if_dih,PDB,0,dih_mae_total_deg,_res_AFDB_FID,129,0.2695108572822579,0.0020108777485053696,0.3017664217135444,0.0005100315983989352,0.2296782050057449,0.008835545235694967
cath_if_dih,PDB,0,dih_mae_total_deg,_res_designability_rate,129,-0.4424324570868885,1.5237118840517514e-07,-0.39402620841304886,3.836720501784611e-06,-0.36793214071433267,1.7891701839827773e-05
cath_if_dih,PDB,200000,cath_C_top1,_res_PDB_FID,111,-0.2795115185837975,0.0029687585351232566,-0.1781019317414931,0.0614615304111674,-0.20599351515517694,0.03008059060462091
cath_if_dih,PDB,200000,cath_C_top1,_res_AFDB_FID,111,-0.20155421999212406,0.033897519882913715,-0.14258689219200646,0.13546866025438703,-0.15399066196757874,0.10659961886447959
cath_if_dih,PDB,200000,cath_C_top1,_res_designability_rate,111,0.3987512848464032,1.4592759922654837e-05,0.1231354170350439,0.19790879162902902,0.13569436908374777,0.15560113460694827
cath_if_dih,PDB,200000,cath_A_top1,_res_PDB_FID,111,-0.2678119359497875,0.004486854193449443,-0.17016449742317813,0.07417280152250492,-0.14497561778182286,0.1289752998570516
cath_if_dih,PDB,200000,cath_A_top1,_res_AFDB_FID,111,-0.18896170744106836,0.04700768673875484,-0.12771225415982393,0.18162198130350868,-0.09463572816253618,0.3231614129266308
cath_if_dih,PDB,200000,cath_A_top1,_res_designability_rate,111,0.3363272125067546,0.0003073280198182616,0.17077277335652724,0.07312913171786012,0.14539819176429553,0.12785184967211488
cath_if_dih,PDB,200000,cath_T_top1,_res_PDB_FID,111,-0.2337717555341321,0.013534922945329651,-0.1813174285782839,0.05684630246071287,-0.13377814126863327,0.16157747208160986
cath_if_dih,PDB,200000,cath_T_top1,_res_AFDB_FID,111,-0.1539768760338882,0.10663135379745774,-0.1330714548447449,0.1638240921032603,-0.08024764227901016,0.4024564978555156
cath_if_dih,PDB,200000,cath_T_top1,_res_designability_rate,111,0.2852843405552639,0.0024056264105848067,0.15732744627470938,0.09913313314522722,0.10500033612648493,0.2727465929426885
cath_if_dih,PDB,200000,if_top1_acc,_res_PDB_FID,111,-0.26637266827697725,0.00471499736949422,-0.27776657627472107,0.003160921697307697,-0.1673642201652007,0.07913330136193947
cath_if_dih,PDB,200000,if_top1_acc,_res_AFDB_FID,111,-0.160532567170798,0.0923548951932287,-0.23523784848901055,0.012943868685395491,-0.1289508422900731,0.1773880130090116
cath_if_dih,PDB,200000,if_top1_acc,_res_designability_rate,111,0.4831277888871051,7.847932670415763e-08,0.42277187580955705,3.7931093485033343e-06,0.3535122233605527,0.00014124685689797536
cath_if_dih,PDB,200000,dih_mae_total_deg,_res_PDB_FID,111,0.14180047830136544,0.13766000650298504,0.11362938724169712,0.23504687444138994,0.19856042976562266,0.03669582822250209
cath_if_dih,PDB,200000,dih_mae_total_deg,_res_AFDB_FID,111,0.0540870360339699,0.5728871237289702,0.09272052664612179,0.33309423271204297,0.15523441284717243,0.10376678373254745
cath_if_dih,PDB,200000,dih_mae_total_deg,_res_designability_rate,111,-0.32866338662100325,0.0004285447737864211,-0.17679359635641664,0.06342493313608741,-0.27045734411876615,0.004093107713362185
cath_if_dih,AFDB,0,cath_C_top1,_res_PDB_FID,86,-0.568019792685405,1.1704588575199204e-08,-0.6738156312451333,1.1621452402837832e-12,-0.7281554732445819,1.958210371211085e-15
cath_if_dih,AFDB,0,cath_C_top1,_res_AFDB_FID,86,-0.5089992130894283,5.607339869031988e-07,-0.6547493865254449,8.0230729026643e-12,-0.7082442640072537,2.4063284403685756e-14
cath_if_dih,AFDB,0,cath_C_top1,_res_designability_rate,86,0.5213263383442442,2.653187365600603e-07,0.3300942318461525,0.0019100910100296868,0.26906849236340813,0.012241375083047077
cath_if_dih,AFDB,0,cath_A_top1,_res_PDB_FID,86,-0.4846434768607577,2.262514552250711e-06,-0.6519884995144671,1.0493195317945852e-11,-0.7317840145334563,1.2104296518766461e-15
cath_if_dih,AFDB,0,cath_A_top1,_res_AFDB_FID,86,-0.4284051431517996,3.8722506853956666e-05,-0.6393208305021694,3.4732189971955614e-11,-0.7189112127261474,6.446190140181901e-15
cath_if_dih,AFDB,0,cath_A_top1,_res_designability_rate,86,0.5638999943495667,1.5720205527245386e-08,0.34802995688562,0.0010250431396210695,0.28719663921810346,0.007337774733215235
cath_if_dih,AFDB,0,cath_T_top1,_res_PDB_FID,86,-0.4112595470630242,8.368373504299388e-05,-0.671707780822289,1.4489836899837355e-12,-0.755422081864119,4.3067161662042354e-17
cath_if_dih,AFDB,0,cath_T_top1,_res_AFDB_FID,86,-0.3412929149643021,0.001300611564015066,-0.6594545772595409,5.045262694605412e-12,-0.7430421407852177,2.5859441954584096e-16
