run,layer,cath_level,cath_accuracy,cath_macro_f1,cath_n_classes
random_gauss,-2,A,0.15025528811086797,0.0514867978841587,24
random_gauss,-2,C,0.41044234952864395,0.19702475485560436,5
random_gauss,-2,T,0.0976027397260274,0.006053887117371902,128
seq_onehot,-3,A,0.28227571115973743,0.05169278556408233,24
seq_onehot,-3,C,0.5634517766497462,0.2483227398039804,5
seq_onehot,-3,T,0.16523972602739725,0.006440938822624086,128
trained_noise,-29,A,0.21954777534646244,0.07282585765588517,24
trained_noise,-28,A,0.22538293216630198,0.0985133267997758,24
trained_noise,-27,A,0.22173595915390226,0.10174541676939115,24
trained_noise,-26,A,0.22027716994894236,0.10237797399576827,24
trained_noise,-25,A,0.22173595915390226,0.10171911372892693,24
trained_noise,-24,A,0.2312180889861415,0.10474889004446593,24
trained_noise,-23,A,0.23559445660102116,0.10872165489987339,24
trained_noise,-22,A,0.23048869438366157,0.07598141038511609,24
trained_noise,-21,A,0.23559445660102116,0.1040359064283951,24
trained_noise,-20,A,0.23851203501094093,0.07657701923344766,24
trained_noise,-29,C,0.49818709209572154,0.28766760876902686,5
trained_noise,-28,C,0.4916606236403191,0.2805679236868877,5
trained_noise,-27,C,0.495286439448876,0.2740710959276107,5
trained_noise,-26,C,0.4945612762871646,0.27372295838673605,5
trained_noise,-25,C,0.49963741841914433,0.2761988869370154,5
trained_noise,-24,C,0.5010877447425671,0.281002726955835,5
trained_noise,-23,C,0.49746192893401014,0.2879868064171775,5
trained_noise,-22,C,0.5018129079042785,0.2919103345526496,5
trained_noise,-21,C,0.5010877447425671,0.27651669496321446,5
trained_noise,-20,C,0.5003625815808557,0.2777838959787773,5
trained_noise,-29,T,0.1464041095890411,0.028763957164948884,128
trained_noise,-28,T,0.1583904109589041,0.03278231934741242,128
trained_noise,-27,T,0.15154109589041095,0.03359546018861207,128
trained_noise,-26,T,0.1541095890410959,0.030438599515289228,128
trained_noise,-25,T,0.1566780821917808,0.032963432644717315,128
trained_noise,-24,T,0.16095890410958905,0.03808868275307425,128
trained_noise,-23,T,0.16523972602739725,0.038395879654420734,128
trained_noise,-22,T,0.17294520547945205,0.037521792022891035,128
trained_noise,-21,T,0.1832191780821918,0.03553456055216044,128
trained_noise,-20,T,0.17722602739726026,0.02942707380688147,128
untrained_proteina,-19,A,0.28373450036469733,0.1059773341500909,24
untrained_proteina,-18,A,0.28665207877461707,0.10600316799747955,24
untrained_proteina,-17,A,0.28665207877461707,0.1061679195299114,24
untrained_proteina,-16,A,0.2895696571845368,0.10781997108360473,24
untrained_proteina,-15,A,0.2888402625820569,0.10750539276880951,24
untrained_proteina,-14,A,0.2888402625820569,0.10627583450014673,24
untrained_proteina,-13,A,0.29175784099197666,0.10828312289829468,24
untrained_proteina,-12,A,0.2910284463894967,0.10808713930207098,24
untrained_proteina,-11,A,0.2895696571845368,0.10623817498406112,24
untrained_proteina,-10,A,0.28519328956965717,0.10242835905586678,24
untrained_proteina,-19,C,0.52356780275562,0.33000684750069725,5
untrained_proteina,-18,C,0.5221174764321972,0.32385532487233737,5
untrained_proteina,-17,C,0.5184916606236403,0.3204781781031648,5
untrained_proteina,-16,C,0.5206671501087745,0.32046711900763575,5
untrained_proteina,-15,C,0.5199419869470631,0.3190895786480229,5
untrained_proteina,-14,C,0.5228426395939086,0.3227800181992917,5
untrained_proteina,-13,C,0.5213923132704859,0.3234309358081371,5
untrained_proteina,-12,C,0.5206671501087745,0.32365773472100073,5
untrained_proteina,-11,C,0.5206671501087745,0.32101839738664273,5
untrained_proteina,-10,C,0.5170413343002176,0.32080662923250547,5
untrained_proteina,-19,T,0.22602739726027396,0.06329466573041607,128
untrained_proteina,-18,T,0.2226027397260274,0.0571751706870974,128
untrained_proteina,-17,T,0.22174657534246575,0.05694881505343792,128
untrained_proteina,-16,T,0.22174657534246575,0.05736323184541762,128
untrained_proteina,-15,T,0.2226027397260274,0.05709565058606939,128
untrained_proteina,-14,T,0.22174657534246575,0.05652793606285314,128
untrained_proteina,-13,T,0.22003424657534246,0.05670976614038249,128
untrained_proteina,-12,T,0.22174657534246575,0.05695574727890261,128
untrained_proteina,-11,T,0.2191780821917808,0.053335970502555986,128
untrained_proteina,-10,T,0.21746575342465754,0.053328750174057055,128
