run,step,config_name,ckpt_path,seed,error,_res_PDB_FID,_res_PDB_fJSD_C,_res_PDB_fJSD_A,_res_PDB_fJSD_T,_res_AFDB_FID,_res_AFDB_fJSD_C,_res_AFDB_fJSD_A,_res_AFDB_fJSD_T,_res_fS_C,_res_fS_A,_res_fS_T,_res_designability_n,_res_scRMSD_mean,_res_scRMSD_median,_res_designability_rate,_res_tm_score_self_mean,_res_plddt_mean,_res_plddt_median,_res_diversity_n_bins,_res_diversity_clusters_mean,_res_diversity_clusters_median,_res_diversity_clusters_total,_res_novelty_n,_res_novelty_rate,_res_novelty_max_tm_mean,_res_novelty_max_tm_median
repa_l9_128,400000,inference/inference_fid_60m_repa_l9_128_lite,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l9_128_per_residue/checkpoints/chk_epoch=00000194_step=000000400000-EMA.ckpt,42,,975.3275146484376,1.319993799654689,3.185005098111453,5.220660845672642,998.0885620117188,1.7959045565824616,3.840850296748108,5.739578963886047,2.165623426437378,2.567324161529541,2.851015567779541,100,3.1661783236265184,1.2222284078598022,0.77,0.8231551001966,0.7576134186983109,0.7645170092582703,1,13.0,13.0,13,200,0.175,0.5805254907815774,0.5507627061837436
repa_l4_128,400000,inference/inference_fid_60m_repa_l4_128_lite,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_128_per_residue/checkpoints/chk_epoch=00000194_step=000000400000-EMA.ckpt,42,,746.59814453125,0.816505492245089,2.2906743798807816,4.475216344957734,774.7235107421875,1.1997347016961415,2.9028543848705257,5.095097032931252,2.509651660919189,3.515597105026245,4.393465518951416,100,3.4979346936941145,1.0041399598121643,0.76,0.7932347030937672,0.7345012792944908,0.7765191793441772,1,24.0,24.0,24,200,0.245,0.5605718760581927,0.5359906474436362
baseline_128,800000,inference/inference_fid_60m_baseline_128_lite,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_128/checkpoints/chk_epoch=00000184_step=000000800000-EMA.ckpt,42,,401.7283020019531,0.1129765468391209,0.7550123123246941,2.8587769539638908,448.5233154296875,0.5248265342087699,1.2954862920082966,3.3156948327241653,2.6702451705932617,5.517460346221924,18.926069259643555,100,3.369428921341896,2.028456389904022,0.5,0.7633077175915242,0.5909495505690575,0.5961054265499115,1,9.0,9.0,9,200,0.38,0.5574275857163858,0.5444027891284542
repa_l0_128,400000,inference/inference_fid_60m_repa_l0_128_lite,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_128_per_residue/checkpoints/chk_epoch=00000195_step=000000400000-EMA.ckpt,42,,842.9530639648438,1.8596514907261263,3.0404485216348,4.747013049919238,863.08447265625,2.0536929691071952,3.485906940706458,5.041419584054422,1.8515876531600952,2.2421247959136963,3.0476202964782715,100,4.01357163131237,1.896704196929932,0.54,0.7418732126057148,0.6274300080537796,0.6789591014385223,1,44.0,44.0,44,200,0.25,0.5431776390363136,0.5321227465906451
