mode,sample_idx,ca_rmsd_vs_ref
compile_fp32,0,1.1939642850962275
compile_fp32,1,0.7486337813605819
compile_fp32,2,1.0783313395079583
compile_fp32,3,0.6764856613995958
compile_fp32,4,0.6360668083166043
compile_fp32,5,0.25827160921383746
compile_fp32,6,0.357314071393091
compile_fp32,7,0.6018240895485948
compile_fp32,8,0.3936345190140477
compile_fp32,9,0.4679266444815391
compile_fp32,10,0.9684210982032638
compile_fp32,11,0.6688675683051324
compile_fp32,12,1.626337700090228
compile_fp32,13,1.5349042522134442
compile_fp32,14,0.4342095237778323
compile_fp32,15,1.9282919825259792
compile_fp32,16,0.7584124369515068
compile_fp32,17,1.2053396689732647
compile_fp32,18,0.4107413086830229
compile_fp32,19,1.1704649727485132
compile_fp32,20,1.0661901762131238
compile_fp32,21,1.2596385110511779
compile_fp32,22,0.844199261028963
compile_fp32,23,0.5336095367917358
compile_fp32,24,1.0230084387470917
compile_fp32,25,0.41208418210644854
compile_fp32,26,0.7280073240742384
compile_fp32,27,1.0247198735579341
compile_fp32,28,0.3672543064283002
compile_fp32,29,0.8720379921079232
compile_fp32,30,0.9625572317995733
compile_fp32,31,0.43063605502727476
compile_fp32,32,0.51114511338981
compile_fp32,33,0.21992243624356697
compile_fp32,34,1.1341566705835788
compile_fp32,35,1.8623554200648411
compile_fp32,36,0.4437250236060673
compile_fp32,37,1.100159536067468
compile_fp32,38,0.37965223836449535
compile_fp32,39,0.5980411894735272
compile_fp32,40,0.882172822126855
compile_fp32,41,0.8468455058586419
compile_fp32,42,0.6560703049655202
compile_fp32,43,0.6585561146186257
compile_fp32,44,0.46287704376601996
compile_fp32,45,0.49466860391095113
compile_fp32,46,0.7875574003836436
compile_fp32,47,1.4589805233552928
compile_fp32,48,0.5200539249277728
compile_fp32,49,0.8188865839047381
eager_bf16,0,0.7311780945011359
eager_bf16,1,0.4579118666418948
eager_bf16,2,1.8957159576638292
eager_bf16,3,0.7567428099777758
eager_bf16,4,0.7904401235521846
eager_bf16,5,1.208997090539387
eager_bf16,6,1.274702089110931
eager_bf16,7,0.6617304451390267
eager_bf16,8,1.084083577199412
eager_bf16,9,0.7843713600393349
eager_bf16,10,1.387041552231487
eager_bf16,11,0.9724681983398877
eager_bf16,12,0.8883806425308409
eager_bf16,13,1.3884959435958129
eager_bf16,14,0.9118997745387358
eager_bf16,15,3.556168741999248
eager_bf16,16,0.3395114249360432
eager_bf16,17,0.7627410982197134
eager_bf16,18,0.7297525321888613
eager_bf16,19,0.5507820076730865
eager_bf16,20,1.1497389796166058
eager_bf16,21,0.9510864743994285
eager_bf16,22,0.5705360053224282
eager_bf16,23,0.5027753776862095
eager_bf16,24,0.8778711885414897
eager_bf16,25,0.42913812658452294
eager_bf16,26,1.0715631627971027
eager_bf16,27,1.0670370900974235
eager_bf16,28,0.3114984658420637
eager_bf16,29,0.8300832482987065
eager_bf16,30,0.508186864992511
eager_bf16,31,0.48603016632022594
eager_bf16,32,0.9212286273555966
eager_bf16,33,0.669268228924753
eager_bf16,34,1.152972295733073
eager_bf16,35,1.3863327031180066
eager_bf16,36,1.0619799465688797
eager_bf16,37,0.587450317672993
eager_bf16,38,0.29893822179413815
eager_bf16,39,1.2764847616521215
eager_bf16,40,0.7857831028512069
eager_bf16,41,1.0954438700248414
eager_bf16,42,1.3716314405751042
eager_bf16,43,1.2014167655077548
eager_bf16,44,0.7830456960011033
eager_bf16,45,0.7609886307277042
eager_bf16,46,1.1464466246528142
eager_bf16,47,1.7677763484549724
eager_bf16,48,0.6131030727877647
eager_bf16,49,1.4664465162051732
compile_bf16,0,0.8208665711831497
compile_bf16,1,0.7621212693858637
compile_bf16,2,1.3358016744222203
compile_bf16,3,0.7834014398319052
compile_bf16,4,0.5281913649377351
compile_bf16,5,0.7995401306105323
compile_bf16,6,0.5354057756390086
compile_bf16,7,0.7992212666659408
compile_bf16,8,1.188234499214733
compile_bf16,9,0.5425556248466948
compile_bf16,10,1.3924241477916581
compile_bf16,11,1.6052050700156961
compile_bf16,12,1.0793939045112297
compile_bf16,13,1.3635327261808405
compile_bf16,14,1.2553553686921897
compile_bf16,15,4.024671288783464
compile_bf16,16,0.4400422342415805
compile_bf16,17,0.9845560431219297
compile_bf16,18,0.8645017729402277
compile_bf16,19,1.2659078488977773
compile_bf16,20,0.9001632457235615
compile_bf16,21,1.2641380825281923
compile_bf16,22,0.8048937227108854
compile_bf16,23,0.37985633879536806
compile_bf16,24,0.8451151751065844
compile_bf16,25,0.7107192892490682
compile_bf16,26,0.7201776492761857
compile_bf16,27,1.0728741572738223
compile_bf16,28,0.533541876662645
compile_bf16,29,0.5174728760721514
compile_bf16,30,0.8845139767061485
compile_bf16,31,1.6443893097202602
compile_bf16,32,0.6325950091033543
compile_bf16,33,0.437555916844667
compile_bf16,34,0.8400320812874896
compile_bf16,35,1.7489665461862902
compile_bf16,36,1.0569467425733474
compile_bf16,37,2.1463194635747094
compile_bf16,38,0.5369773735696547
compile_bf16,39,1.2027440261241844
compile_bf16,40,0.876173214242186
compile_bf16,41,0.670793660346344
compile_bf16,42,1.354064205740647
compile_bf16,43,0.7917019476752042
compile_bf16,44,0.8881127175186003
compile_bf16,45,0.8412766277091975
compile_bf16,46,0.8959170375891069
compile_bf16,47,1.7971034857758466
compile_bf16,48,0.5968251235015557
compile_bf16,49,1.198757495145509
