n_residues,rg,bond_mean,bond_std,bond_max_dev,angle_mean,angle_std,clash_rate,end_to_end,mode,sample_idx
256,17.091854095458984,3.8051953315734863,0.1833859384059906,0.5170242786407471,97.50914764404297,11.775552749633789,0.0,34.66615295410156,eager_fp32,0
256,17.199792861938477,3.81756854057312,0.1826886385679245,0.6894991397857666,98.28365325927734,12.372385025024414,0.0,39.013545989990234,eager_fp32,1
256,18.09429168701172,3.8235702514648438,0.18583153188228607,0.7046699523925781,100.38475036621094,14.401040077209473,0.0,29.890878677368164,eager_fp32,2
256,17.742000579833984,3.8284969329833984,0.19152992963790894,0.6986706256866455,95.68922424316406,10.0108642578125,0.0,32.2164421081543,eager_fp32,3
256,21.488954544067383,3.8137006759643555,0.16954652965068817,0.7406816482543945,99.05367279052734,12.942736625671387,0.0,54.745361328125,eager_fp32,4
256,18.712461471557617,3.8199269771575928,0.19031235575675964,0.7267651557922363,98.96469116210938,11.979000091552734,0.0,50.654396057128906,eager_fp32,5
256,18.572383880615234,3.8249168395996094,0.15960374474525452,0.49044251441955566,95.77418518066406,9.59288501739502,0.0,38.36133575439453,eager_fp32,6
256,18.721750259399414,3.825366735458374,0.19014884531497955,0.5983781814575195,98.56571197509766,12.530980110168457,0.0,19.67594337463379,eager_fp32,7
256,17.70748519897461,3.821286916732788,0.1799159049987793,0.9402077198028564,97.48017120361328,11.530190467834473,0.0,32.25873565673828,eager_fp32,8
256,17.61176872253418,3.831019878387451,0.16741172969341278,0.546830415725708,96.2041244506836,9.457380294799805,0.0,14.304067611694336,eager_fp32,9
256,17.720062255859375,3.8215980529785156,0.19045758247375488,0.5848782062530518,99.36109924316406,13.41688346862793,0.0,28.299503326416016,eager_fp32,10
256,17.781503677368164,3.8141345977783203,0.18046842515468597,0.69370436668396,101.52091979980469,14.309699058532715,0.0,36.43791198730469,eager_fp32,11
256,17.35736846923828,3.819467067718506,0.17286142706871033,0.7766416072845459,100.58821105957031,14.334037780761719,0.0,10.39199447631836,eager_fp32,12
256,18.20438575744629,3.8464436531066895,0.16667431592941284,0.5202229022979736,101.94886779785156,15.24658203125,0.0,44.50120162963867,eager_fp32,13
256,18.11505699157715,3.8410959243774414,0.18307538330554962,0.5621950626373291,102.1751480102539,14.866922378540039,0.0,24.51428985595703,eager_fp32,14
256,16.962251663208008,3.822136402130127,0.16196727752685547,0.5761616230010986,100.2527084350586,14.47423267364502,0.0,35.53697967529297,eager_fp32,15
256,18.556150436401367,3.828097105026245,0.17644865810871124,0.8437812328338623,96.4200439453125,9.802285194396973,0.0,39.406219482421875,eager_fp32,16
256,17.802658081054688,3.8106422424316406,0.1856771558523178,0.7819647789001465,100.20543670654297,13.839835166931152,0.0,39.05162811279297,eager_fp32,17
256,17.800338745117188,3.8156466484069824,0.1880219727754593,0.5778748989105225,99.02752685546875,14.009583473205566,0.0,56.31193542480469,eager_fp32,18
256,19.767026901245117,3.8526201248168945,0.1657172441482544,0.6891376972198486,96.24139404296875,11.04184341430664,0.0,62.37382125854492,eager_fp32,19
256,17.264511108398438,3.8352015018463135,0.18263667821884155,0.7373354434967041,106.05844116210938,17.407684326171875,0.0,42.10938262939453,eager_fp32,20
256,16.937288284301758,3.8126959800720215,0.17697565257549286,0.5041224956512451,101.193115234375,15.28087329864502,0.0,14.131841659545898,eager_fp32,21
256,18.940950393676758,3.808055877685547,0.19087128341197968,0.7452046871185303,95.71754455566406,10.043778419494629,0.0,48.3382682800293,eager_fp32,22
256,17.477323532104492,3.813904047012329,0.18101400136947632,0.6700809001922607,99.04335021972656,13.323153495788574,0.0,46.842430114746094,eager_fp32,23
256,17.206592559814453,3.8214383125305176,0.1683736890554428,0.6019935607910156,96.4215087890625,9.414310455322266,0.0,13.692185401916504,eager_fp32,24
256,19.252147674560547,3.8200037479400635,0.1715153604745865,0.5701479911804199,101.26053619384766,16.017803192138672,0.0,49.428165435791016,eager_fp32,25
256,17.34507942199707,3.8081581592559814,0.17836369574069977,0.6460287570953369,98.6112060546875,12.810633659362793,0.0,42.78182601928711,eager_fp32,26
256,17.936206817626953,3.8249430656433105,0.17586393654346466,0.9305756092071533,98.79206085205078,13.041646003723145,0.0,12.13352108001709,eager_fp32,27
256,17.195676803588867,3.7967069149017334,0.17632745206356049,0.7213478088378906,98.44243621826172,12.85781192779541,0.0,42.484127044677734,eager_fp32,28
256,17.466312408447266,3.8070294857025146,0.1640937179327011,0.6127097606658936,96.98477172851562,10.680027961730957,0.0,56.494632720947266,eager_fp32,29
256,17.885845184326172,3.837611436843872,0.17915478348731995,0.7345328330993652,96.37080383300781,10.557333946228027,0.0,28.34015464782715,eager_fp32,30
256,17.892742156982422,3.8298795223236084,0.18640948832035065,0.6559569835662842,101.92179870605469,15.899182319641113,0.0,57.218936920166016,eager_fp32,31
256,17.060880661010742,3.8319766521453857,0.199489563703537,0.7330093383789062,106.33164978027344,16.962871551513672,0.0,40.21733474731445,eager_fp32,32
256,17.42632484436035,3.813671112060547,0.171770840883255,0.6535582542419434,97.88082885742188,12.791609764099121,0.0,27.192813873291016,eager_fp32,33
256,19.422931671142578,3.8506972789764404,0.1848401576280594,0.670201301574707,102.20259857177734,15.552911758422852,0.0,40.280128479003906,eager_fp32,34
256,18.895767211914062,3.818004608154297,0.167764350771904,0.7057583332061768,97.44261932373047,11.284969329833984,0.0,44.458553314208984,eager_fp32,35
256,17.98756217956543,3.8414382934570312,0.16067098081111908,0.6015279293060303,103.78317260742188,16.700977325439453,0.0,49.92293167114258,eager_fp32,36
256,18.65841293334961,3.818023204803467,0.2032289355993271,0.7370226383209229,104.36955261230469,16.54707145690918,0.0,38.969215393066406,eager_fp32,37
256,17.471426010131836,3.8218066692352295,0.16941308975219727,0.5240113735198975,107.04564666748047,18.425485610961914,0.0,34.173255920410156,eager_fp32,38
256,17.236064910888672,3.8061888217926025,0.18882937729358673,0.6941790580749512,96.48271179199219,9.760936737060547,0.0,12.326709747314453,eager_fp32,39
256,17.787940979003906,3.8057310581207275,0.1757376492023468,0.5753705501556396,101.3508529663086,15.618114471435547,0.0,32.61223602294922,eager_fp32,40
256,18.03077507019043,3.825892210006714,0.17988182604312897,0.7421677112579346,101.71279907226562,15.939010620117188,0.0,40.20503616333008,eager_fp32,41
256,17.285255432128906,3.839712619781494,0.20554187893867493,0.743847131729126,97.06708526611328,10.224308013916016,0.0,15.7335786819458,eager_fp32,42
256,18.652070999145508,3.810555934906006,0.16073614358901978,0.6681056022644043,95.64037322998047,8.059282302856445,0.0,39.80670928955078,eager_fp32,43
256,16.983793258666992,3.843569040298462,0.18159987032413483,0.5642750263214111,106.8067398071289,17.45248031616211,0.0,42.59354019165039,eager_fp32,44
256,16.99347686767578,3.8079030513763428,0.17611883580684662,0.6114475727081299,97.9714126586914,11.366116523742676,0.0,37.16856002807617,eager_fp32,45
256,17.94153594970703,3.8116235733032227,0.17731790244579315,0.639634370803833,96.56275939941406,11.077705383300781,0.0,27.272502899169922,eager_fp32,46
256,17.208541870117188,3.8112971782684326,0.1897597312927246,0.657444953918457,101.67910766601562,14.70103931427002,0.0,37.1585578918457,eager_fp32,47
256,18.053632736206055,3.8304245471954346,0.1803334653377533,0.54935622215271,96.52523803710938,9.850380897521973,0.0,42.14888000488281,eager_fp32,48
256,17.376901626586914,3.8167264461517334,0.17533692717552185,0.6862382888793945,104.9347152709961,16.33405876159668,0.0,31.845382690429688,eager_fp32,49
