layer,dim,rankme,mean_norm,sparsity
0,512,47.42574691772461,80.96248626708984,0.0
1,512,73.95552825927734,35.53425598144531,0.0
2,512,45.08004379272461,253.13206481933594,0.0
3,512,37.72295379638672,1269.725830078125,0.0
4,512,28.38851547241211,21617.3203125,0.0
5,512,6.7935051918029785,1304211.375,0.0
