layer,dim,rankme,mean_norm,sparsity
0,512,50.36117172241211,19.336137771606445,0.0
1,512,47.70680236816406,19.099905014038086,0.0
2,512,63.769065856933594,16.486530303955078,0.0
3,512,82.60467529296875,11.20189380645752,0.0
4,512,57.19684600830078,9.033736228942871,0.0
5,512,34.53696823120117,11.172619819641113,0.0
