layer,dim,eff_rank,mean_norm,sparsity
0,512,5.814256191253662,19.336135864257812,0.0
1,512,6.771777629852295,19.09990692138672,0.0
2,512,10.479488372802734,16.486530303955078,0.0
3,512,14.558666229248047,11.20189380645752,0.0
4,512,11.500898361206055,9.033736228942871,0.0
5,512,9.495003700256348,11.172619819641113,0.0
