layer,rankme,mean_norm,sparsity
0,145.43589782714844,19.765851974487305,0.0
1,193.13143920898438,21.655187606811523,0.0
2,225.59799194335938,25.643415451049805,0.0
3,247.426513671875,30.886743545532227,0.0
4,259.6221923828125,37.11918640136719,0.0
5,264.867431640625,44.63873291015625,0.0
6,262.1158752441406,55.47752380371094,0.0
7,239.2393798828125,78.85181427001953,0.0
