dataset,step_filter,rep_metric,gen_metric,n,pearson_r,pearson_p,spearman_r,spearman_p,partial_spearman_r_ctrl_step,partial_spearman_p_ctrl_step
PDB,0,cath_C_top1,_res_PDB_FID,19,-0.42325385191424253,0.07097469121735184,-0.3564531663532908,0.13413941146508662,-0.3964092527256469,0.09290748755087719
PDB,0,cath_C_top1,_res_AFDB_FID,19,-0.3911749376582175,0.09770261889272538,-0.3292362989716356,0.16869271914498668,-0.3674683802557872,0.12168277858925766
PDB,0,cath_C_top1,_res_designability_rate,19,0.0905561725214094,0.7123612983611384,-0.07780220531841169,0.7515556308933453,-0.08567419521869268,0.7272886518678324
PDB,0,cath_A_top1,_res_PDB_FID,19,-0.27086833202669935,0.2620059705540177,-0.31560515784455734,0.1880933349642458,-0.4046362584866574,0.08572082396971709
PDB,0,cath_A_top1,_res_AFDB_FID,19,-0.22145385231797274,0.3622173595794936,-0.2874732217692765,0.23271509372787705,-0.37388191865500253,0.11482057313302024
PDB,0,cath_A_top1,_res_designability_rate,19,0.10375654377851848,0.6725107931078681,-0.059859178121896436,0.8076767889992148,-0.08357163635134747,0.7337469734272426
PDB,0,cath_T_top1,_res_PDB_FID,19,-0.2508097551373464,0.30033833868883497,-0.2939886197891535,0.2218238986288116,-0.40853401762675134,0.08246217477652622
PDB,0,cath_T_top1,_res_AFDB_FID,19,-0.20157052967171946,0.4079416852370147,-0.26678370273403784,0.2695500326069173,-0.3781634794186178,0.11039623664053765
PDB,0,cath_T_top1,_res_designability_rate,19,0.0799403196363016,0.744941299390619,-0.053602832646166075,0.8274734565239303,-0.08530733513266052,0.7284142637015113
PDB,0,if_top1_acc,_res_PDB_FID,19,-0.22234040546994358,0.36024936599781726,-0.1824561403508772,0.45468613071911324,-0.22009254966553146,0.365251093759213
PDB,0,if_top1_acc,_res_AFDB_FID,19,-0.18403952566124598,0.4507131831745931,-0.13508771929824562,0.5813619464266702,-0.16998004314227882,0.48660780096001716
PDB,0,if_top1_acc,_res_designability_rate,19,0.03752481321374713,0.8787804365225965,-0.020202037736053176,0.934576511449835,-0.02970835978933323,0.9039046180055639
PDB,0,dih_mae_total_deg,_res_PDB_FID,19,0.166575773770575,0.4955046541581407,0.1649122807017544,0.49988058994796014,0.07342282341800084,0.7651548433910395
PDB,0,dih_mae_total_deg,_res_AFDB_FID,19,0.15992155952957043,0.5131198573436403,0.12280701754385966,0.6164660517594382,0.027312932468071677,0.9116227862576732
PDB,0,dih_mae_total_deg,_res_designability_rate,19,-0.024031197283813456,0.9222088560466292,-0.14404931255272702,0.5562964817723651,-0.1897782506998075,0.436464770410878
PDB,200000,cath_C_top1,_res_PDB_FID,16,-0.5663620772534483,0.0221822769742301,-0.478292991885524,0.06092686390048615,-0.43455908901247986,0.09256494457997691
PDB,200000,cath_C_top1,_res_AFDB_FID,16,-0.5402739642795122,0.030732490433433134,-0.45474625997731355,0.07677207407340822,-0.40931144854904544,0.11541094469326638
PDB,200000,cath_C_top1,_res_designability_rate,16,-0.33972118938183726,0.19797058117454977,-0.446903140965733,0.08265679400064656,-0.6244597053230445,0.009714217883072317
PDB,200000,cath_A_top1,_res_PDB_FID,16,-0.4117554526891267,0.11304276722573794,-0.4457594923885146,0.08354120674865967,-0.42849769445640545,0.09772783645586007
PDB,200000,cath_A_top1,_res_AFDB_FID,16,-0.3664184744037059,0.16274460041452693,-0.41328694658537785,0.11157622580217491,-0.39396684491528267,0.1310735382822563
PDB,200000,cath_A_top1,_res_designability_rate,16,-0.3460046464612645,0.18926930019230337,-0.4171602197494485,0.10792677756836182,-0.5249235418569401,0.03681800154694003
PDB,200000,cath_T_top1,_res_PDB_FID,16,-0.3843332034451792,0.14162145662266706,-0.4382352941176471,0.08953003199187995,-0.4309396779783812,0.09562387140108529
PDB,200000,cath_T_top1,_res_AFDB_FID,16,-0.33913128708661067,0.1988005775892161,-0.4058823529411764,0.11879168453237476,-0.39656485232617666,0.12832421380544048
PDB,200000,cath_T_top1,_res_designability_rate,16,-0.37528429741136604,0.15204302004372428,-0.45099594367491375,0.07954686190178482,-0.5432409938376872,0.02965042261939932
PDB,200000,if_top1_acc,_res_PDB_FID,16,-0.27463652024092716,0.3032910160546282,-0.24705882352941175,0.35627504151257705,-0.2544476862419634,0.341599036533197
PDB,200000,if_top1_acc,_res_AFDB_FID,16,-0.2412950740523415,0.3679638802341825,-0.2058823529411765,0.4442846410521438,-0.21087007037239208,0.4330778789338441
PDB,200000,if_top1_acc,_res_designability_rate,16,-0.18832986102625832,0.48486328167348913,-0.16507041075683118,0.541242068911084,-0.18955745611167676,0.4819687114002756
PDB,200000,dih_mae_total_deg,_res_PDB_FID,16,0.15116748758163276,0.5762650332304572,0.19999999999999998,0.45768790507519985,0.0881435970365828,0.7454786996722884
PDB,200000,dih_mae_total_deg,_res_AFDB_FID,16,0.1447913390330961,0.5926374174165635,0.16176470588235295,0.5494831434036929,0.04569056851747948,0.8665647599051907
PDB,200000,dih_mae_total_deg,_res_designability_rate,16,-0.07875695623152223,0.7718746773330198,-0.23286718660338684,0.3854312183875861,-0.08593020407979271,0.7516802172175422
AFDB,0,cath_C_top1,_res_PDB_FID,14,0.43805554519096707,0.11719719834590386,0.3741982225719448,0.18747300315042964,0.210550711239285,0.46997467753694233
AFDB,0,cath_C_top1,_res_AFDB_FID,14,0.3774389439066808,0.18337572275803438,0.2628297039493422,0.3639628941030192,0.14461166477175202,0.6218386958720231
AFDB,0,cath_C_top1,_res_designability_rate,14,0.056476493998371874,0.8479259901728988,0.0,1.0,0.38927015756591854,0.16890870661843932
AFDB,0,cath_A_top1,_res_PDB_FID,14,0.5381302762478237,0.047138208636631145,0.5837018564850969,0.028419135303421474,0.5076004473075975,0.06389519897728177
AFDB,0,cath_A_top1,_res_AFDB_FID,14,0.5379955203912312,0.047204251460545646,0.5242303465790682,0.05431237070295727,0.48094300270800144,0.08169092036750694
AFDB,0,cath_A_top1,_res_designability_rate,14,0.2805496763618146,0.3312723523191887,0.3880928488899682,0.1703138954065741,0.7400505834534734,0.0024762452373597553
AFDB,0,cath_T_top1,_res_PDB_FID,14,0.5348931368619044,0.04874342593286366,0.6189442327257064,0.01827302507274992,0.5485885341200012,0.042215245410626344
AFDB,0,cath_T_top1,_res_AFDB_FID,14,0.5263728934846499,0.05315813802983111,0.546256831729449,0.04327860096182371,0.51267263348113,0.06085322019631242
AFDB,0,cath_T_top1,_res_designability_rate,14,0.21986272230424328,0.4500883821860975,0.24586564006381506,0.3968306332239141,0.6284907651900182,0.016072269189688796
AFDB,0,if_top1_acc,_res_PDB_FID,14,0.8040771901405676,0.0005276312797560087,0.8945054945054945,1.579830848680049e-05,0.8901264198404062,1.9968112690382717e-05
AFDB,0,if_top1_acc,_res_AFDB_FID,14,0.8509193366955726,0.00011404520783618432,0.8901098901098902,1.998540422478126e-05,0.8833240195921729,2.8199585843853188e-05
AFDB,0,if_top1_acc,_res_designability_rate,14,0.4677922362290261,0.0916435358576797,0.4378440493271549,0.117394617515249,0.6071170007294829,0.021307804979286755
AFDB,0,dih_mae_total_deg,_res_PDB_FID,14,-0.8126621289468254,0.0004113446853616954,-0.9384615384615385,6.86120148176667e-07,-0.9329832346668114,1.1308142124550722e-06
AFDB,0,dih_mae_total_deg,_res_AFDB_FID,14,-0.8253176084408591,0.0002783659358207651,-0.9164835164835166,4.084158819686066e-06,-0.9288427181903659,1.6056327204860616e-06
AFDB,0,dih_mae_total_deg,_res_designability_rate,14,-0.35022244080343784,0.21960214972000805,-0.20462058586645934,0.48285433365458696,-0.4638899399137909,0.09475242076513586
AFDB,200000,cath_C_top1,_res_PDB_FID,10,0.34211520322837047,0.3332353416655852,0.18192637473571155,0.6149480472526001,-0.03344807861214173,0.9269141311884745
AFDB,200000,cath_C_top1,_res_AFDB_FID,10,0.287741339717054,0.42014203430948605,0.03136661633374337,0.9314529942810608,-0.17205906080624275,0.6345667310429768
AFDB,200000,cath_C_top1,_res_designability_rate,10,-0.23100577055926277,0.5207884452824161,-0.12584840370807052,0.7290253881836619,0.4391325133861064,0.2041889918276886
AFDB,200000,cath_A_top1,_res_PDB_FID,10,0.6305871451592915,0.05062360043529442,0.6686960980480711,0.034509541651785346,0.7580709035294915,0.011059885699269347
AFDB,200000,cath_A_top1,_res_AFDB_FID,10,0.6918120428732859,0.02666326553111163,0.7173285415424762,0.019528343138302953,0.7757177487476798,0.008360331978711
AFDB,200000,cath_A_top1,_res_designability_rate,10,0.3103917310548994,0.38273862366499506,0.3658536585365854,0.29848647707479753,0.7900963645711254,0.006535186010253326
AFDB,200000,cath_T_top1,_res_PDB_FID,10,0.6486566246780208,0.04246705626023658,0.7173285415424762,0.019528343138302953,0.7833526773028935,0.0073516034520155395
AFDB,200000,cath_T_top1,_res_AFDB_FID,10,0.675718438900034,0.03197954069315661,0.705170430668875,0.022737736615376793,0.7373650080561541,0.014946261252787172
AFDB,200000,cath_T_top1,_res_designability_rate,10,0.15488061516181403,0.6692095180400821,0.2774390243902439,0.4376986339194856,0.716738335579097,0.01967642215352913
AFDB,200000,if_top1_acc,_res_PDB_FID,10,0.7817082087063538,0.007561151659931846,0.8666666666666665,0.0011735381801554687,0.9204691817049235,0.000158875617011482
AFDB,200000,if_top1_acc,_res_AFDB_FID,10,0.859375085101164,0.0014387711439390006,0.9030303030303028,0.00034361219776328223,0.9302096227279499,9.534903118533704e-05
AFDB,200000,if_top1_acc,_res_designability_rate,10,0.29060222366751404,0.41532617224196045,0.19452977397762067,0.5902067758594245,0.7001802747368768,0.024154071518655368
AFDB,200000,dih_mae_total_deg,_res_PDB_FID,10,-0.8101329014114524,0.004489898124670793,-0.9636363636363635,7.320974809529922e-06,-0.9721355726340524,2.5502471745210828e-06
AFDB,200000,dih_mae_total_deg,_res_AFDB_FID,10,-0.8563303251784761,0.001561455565939982,-0.9757575757575757,1.4675461874042197e-06,-0.9736858934220228,2.0321340540047443e-06
AFDB,200000,dih_mae_total_deg,_res_designability_rate,10,-0.08181109373288063,0.822231230919442,0.0790277206784084,0.8282024798594116,-0.5103679970036236,0.131743084339835
