run,global_step,batch_size,samples_seen,_res_PDB_FID,_res_PDB_fJSD_C,_res_PDB_fJSD_A,_res_PDB_fJSD_T,_res_AFDB_FID,_res_AFDB_fJSD_C,_res_AFDB_fJSD_A,_res_AFDB_fJSD_T,_res_fS_C,_res_fS_A,_res_fS_T
REPA (L4),250000,4,1000000,738.6620483398438,1.3059837166819297,1.6954799596234769,3.7922053676566585,755.0892333984375,0.7259067069709318,1.2733924428109784,3.751016413610913,1.675529956817627,3.3004815578460693,14.913091659545898
REPA (L4),350000,4,1400000,723.9909057617188,1.0409974388400274,1.7011953770996595,3.67686796718748,722.6515502929688,0.5553536915979407,1.253859945037613,3.675183173566861,1.813398838043213,3.2015609741210938,15.218210220336914
REPA (L4),450000,4,1800000,689.174560546875,1.0127067252450126,1.4651910269382236,3.4344719450897765,682.371337890625,0.493866937904419,1.0151507725446265,3.28541983669814,1.8320763111114504,3.458936214447021,15.595741271972656
REPA (L4),550000,4,2200000,692.45166015625,0.3910605422807919,0.9473838412506248,2.9598770485596098,680.8367309570312,0.1377859333093043,0.7146457819594578,2.985801561802819,2.251450777053833,4.2754621505737305,17.68027114868164
REPA (L4),650000,4,2600000,767.0867309570312,0.5554685997715388,1.1130044998334612,2.937998848837091,760.0151977539062,0.2241898302234289,0.7752273407467489,3.0003274833913696,2.168391704559326,3.707258701324463,15.600433349609377
REPA (L4),750000,4,3000000,745.5526123046875,1.1851008903781042,1.6459966310604577,3.42816122796615,727.6702270507812,0.5997566733262402,1.0228153273134426,3.3477520848370705,1.71116042137146,2.9453556537628174,13.392781257629396
REPA (L4),840000,4,3360000,634.5746459960938,0.9083793969052396,1.400645407096151,3.285195910204634,630.133544921875,0.3984423625124,0.9113693631715614,3.1911590712286744,1.912286877632141,3.5666344165802,16.87649917602539
REPA (L9),10000,4,40000,96895.9453125,1.5275673991187753,4.953850874838269,5.813441235497486,97089.859375,2.5507803971146616,5.124637073196531,5.870740403959304,1.4485794305801392,2.10666298866272,3.1097571849823
REPA (L9),20000,4,80000,205375.828125,1.0663298409772002,4.094630001899379,5.77072206869593,205663.703125,1.9192458903011853,3.9693317301955178,5.620733172400786,1.66291081905365,2.326362371444702,2.939302444458008
REPA (L9),40000,4,160000,41078.31640625,0.5021290074245561,2.8142460066617234,5.058310383374286,41161.30078125,1.0873474027329055,2.6437381895072587,4.7111804360252325,1.9505069255828855,2.939331293106079,5.703433513641357
REPA (L9),80000,4,320000,2246.74365234375,0.0679419153522194,1.7593661954980055,4.395492113243701,2237.9033203125,0.5080899481058315,1.6686403299972137,4.299748836483598,2.236574172973633,2.911022663116455,12.77549934387207
REPA (L9),150000,4,600000,963.5137939453124,0.3275855029105287,1.6146899122030245,4.44309449628605,976.1263427734376,0.1833530636661524,1.3315547112715782,4.5973614642649885,2.119960069656372,2.8705477714538574,13.048131942749023
REPA (L9),250000,4,1000000,2390.138427734375,0.3567467054818141,2.1568715820487068,4.6426900400277225,2354.0869140625,0.9448340801978248,2.1524001261003853,4.331357285819909,1.9389326572418213,2.4532277584075928,7.628672122955322
REPA (L9),350000,4,1400000,985.7111206054688,0.0415992718999839,1.2952645426229543,4.179289551486388,979.6879272460938,0.3470496542490086,1.231626806478035,4.233746964928471,2.135195255279541,3.190151691436768,11.36809253692627
REPA (L9),450000,4,1800000,837.1268310546875,0.1859323137688348,1.1425677960747436,4.04174213221705,837.754638671875,0.2756796767147896,1.145587975908831,4.220894311962375,2.120164394378662,3.65314531326294,14.137540817260742
REPA (L9),550000,4,2200000,827.0108642578125,0.1367447738562774,0.9631763240700788,3.7664557126286,874.7923583984375,0.2559453577533687,1.1092284220449178,4.048614504048854,2.263641119003296,5.078252792358398,22.72007751464844
REPA (L9),650000,4,2600000,837.406005859375,0.7724397494552018,1.390266594563906,3.75571531050096,873.390625,0.3756790250297421,1.0307843829214225,3.954124432501013,1.937703847885132,3.795214891433716,21.10028648376465
REPA (L9),750000,4,3000000,771.4647216796875,0.3045578434413363,1.3274589939273818,3.3549458808964525,824.71728515625,0.2350682455868738,1.1712048220047977,3.54150693047562,2.191795825958252,4.503573894500732,24.12600898742676
REPA (L9),840000,4,3360000,673.3195190429688,0.2140765192068867,1.070290594003107,3.082023180028485,726.4074096679688,0.3141013144058486,1.0891827561105172,3.401936734528225,2.1914916038513184,4.718811511993408,25.822303771972656
