run,step,layer,t,probe_kind,head_type,n_train,n_eval,n_proteins_test,p_at_L_5,p_at_L_2,p_at_L,cath_level,cath_accuracy,cath_macro_f1,cath_top1_conf_mean,cath_n_classes,cath_n_train,cath_n_eval,cath_n_eval_in_vocab,cath_n_eval_oov,if_top1_acc,if_macro_f1,if_n_residues_test,dih_mae_phi_deg,dih_mae_psi_deg,dih_mae_total_deg,dih_n_residues_test,dist_mae_total,dist_mae_short,dist_mae_medium,dist_mae_long,dist_n_pairs_test,dim,probe_seed,ckpt_path,train_manifest,eval_manifest
baseline_256_bs24_2gpu_step1000k,1000000,6,1.0,dihedral,linear,1000,325,,,,,,,,,,,,,,,,,50.0852165222168,55.34852600097656,52.71687126159668,43310,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s1042,eval_clean_v2
baseline_256_bs24_2gpu_step1000k,1000000,7,1.0,inverse_folding,linear,1000,325,,,,,,,,,,,,,,0.10131609439849854,0.07770150948838163,43310,,,,,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s1042,eval_clean_v2
baseline_256_bs24_2gpu_step1000k,1000000,7,1.0,dihedral,linear,1000,325,,,,,,,,,,,,,,,,,52.678287506103516,58.71357727050781,55.695932388305664,43310,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s1042,eval_clean_v2
baseline_256_bs24_2gpu_step1000k,1000000,8,1.0,inverse_folding,linear,1000,325,,,,,,,,,,,,,,0.09789887070655823,0.07668603560961429,43310,,,,,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s1042,eval_clean_v2
baseline_256_bs24_2gpu_step1000k,1000000,8,1.0,dihedral,linear,1000,325,,,,,,,,,,,,,,,,,53.357872009277344,61.07602310180664,57.21694755554199,43310,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s1042,eval_clean_v2
baseline_256_bs24_2gpu_step1000k,1000000,9,1.0,inverse_folding,linear,1000,325,,,,,,,,,,,,,,0.061463866382837296,0.006039852103269602,43310,,,,,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s1042,eval_clean_v2
baseline_256_bs24_2gpu_step1000k,1000000,9,1.0,dihedral,linear,1000,325,,,,,,,,,,,,,,,,,63.92231750488281,72.74109649658203,68.33170700073242,43310,,,,,,512,1042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s1042,eval_clean_v2
baseline_256_bs24_2gpu_step1000k,1000000,0,1.0,inverse_folding,linear,1000,325,,,,,,,,,,,,,,0.10690371692180634,0.0620529719636842,43310,,,,,,,,,,512,2042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s2042,eval_clean_v2
baseline_256_bs24_2gpu_step1000k,1000000,0,1.0,dihedral,linear,1000,325,,,,,,,,,,,,,,,,,27.07544708251953,49.79902648925781,38.43723678588867,43310,,,,,,512,2042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s2042,eval_clean_v2
baseline_256_bs24_2gpu_step1000k,1000000,1,1.0,inverse_folding,linear,1000,325,,,,,,,,,,,,,,0.11535441875457764,0.06955240069765108,43310,,,,,,,,,,512,2042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s2042,eval_clean_v2
baseline_256_bs24_2gpu_step1000k,1000000,1,1.0,dihedral,linear,1000,325,,,,,,,,,,,,,,,,,28.10767364501953,44.51301574707031,36.31034469604492,43310,,,,,,512,2042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s2042,eval_clean_v2
baseline_256_bs24_2gpu_step1000k,1000000,2,1.0,inverse_folding,linear,1000,325,,,,,,,,,,,,,,0.13250981271266937,0.08711260997605572,43310,,,,,,,,,,512,2042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s2042,eval_clean_v2
baseline_256_bs24_2gpu_step1000k,1000000,2,1.0,dihedral,linear,1000,325,,,,,,,,,,,,,,,,,29.365087509155273,35.10939025878906,32.23723888397217,43310,,,,,,512,2042,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256_bs24_2gpu/checkpoints/chk_epoch=00000087_step=000001000000-EMA.ckpt,train_v1_s2042,eval_clean_v2
