run,step,layer,t,dim,p_at_L_5_linear,p_at_L_5_mlp,p_at_L,p_at_L_2,p_at_L_5,contact_n_test,cath_level,cath_acc,cath_f1,cath_classes,manifest,ckpt_path,error
baseline,150000,8,1.00,512,nan,0.9109,0.6408,0.8122,0.9109,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000002_step=000000150000-EMA.ckpt,
baseline,150000,9,1.00,512,nan,0.9147,0.6389,0.8073,0.9147,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000002_step=000000150000-EMA.ckpt,
baseline,250000,0,1.00,512,nan,0.9444,0.6686,0.8432,0.9444,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000003_step=000000250000-EMA.ckpt,
baseline,250000,1,1.00,512,nan,0.9365,0.6523,0.8269,0.9365,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000003_step=000000250000-EMA.ckpt,
baseline,250000,2,1.00,512,nan,0.9308,0.6499,0.8202,0.9308,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000003_step=000000250000-EMA.ckpt,
baseline,250000,3,1.00,512,nan,0.9311,0.6509,0.8231,0.9311,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000003_step=000000250000-EMA.ckpt,
baseline,250000,4,1.00,512,nan,0.9300,0.6424,0.8146,0.9300,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000003_step=000000250000-EMA.ckpt,
baseline,250000,5,1.00,512,nan,0.9267,0.6340,0.8022,0.9267,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000003_step=000000250000-EMA.ckpt,
baseline,250000,6,1.00,512,nan,0.9271,0.6364,0.8062,0.9271,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000003_step=000000250000-EMA.ckpt,
baseline,250000,7,1.00,512,nan,0.9227,0.6350,0.8117,0.9227,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000003_step=000000250000-EMA.ckpt,
baseline,250000,8,1.00,512,nan,0.9206,0.6321,0.8014,0.9206,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000003_step=000000250000-EMA.ckpt,
baseline,250000,9,1.00,512,nan,0.9160,0.6241,0.7939,0.9160,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000003_step=000000250000-EMA.ckpt,
baseline,350000,0,1.00,512,nan,0.9427,0.6671,0.8399,0.9427,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000004_step=000000350000-EMA.ckpt,
baseline,350000,1,1.00,512,nan,0.9184,0.6432,0.8104,0.9184,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000004_step=000000350000-EMA.ckpt,
baseline,350000,2,1.00,512,nan,0.9296,0.6553,0.8255,0.9296,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000004_step=000000350000-EMA.ckpt,
baseline,350000,3,1.00,512,nan,0.9226,0.6510,0.8191,0.9226,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000004_step=000000350000-EMA.ckpt,
baseline,350000,4,1.00,512,nan,0.9098,0.6267,0.7927,0.9098,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000004_step=000000350000-EMA.ckpt,
baseline,350000,5,1.00,512,nan,0.9069,0.6323,0.8094,0.9069,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000004_step=000000350000-EMA.ckpt,
baseline,350000,6,1.00,512,nan,0.8995,0.6350,0.8035,0.8995,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000004_step=000000350000-EMA.ckpt,
baseline,350000,7,1.00,512,nan,0.9064,0.6356,0.8041,0.9064,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000004_step=000000350000-EMA.ckpt,
baseline,350000,8,1.00,512,nan,0.9061,0.6338,0.8017,0.9061,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000004_step=000000350000-EMA.ckpt,
baseline,350000,9,1.00,512,nan,0.9078,0.6276,0.7978,0.9078,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000004_step=000000350000-EMA.ckpt,
baseline,450000,0,1.00,512,nan,0.9535,0.6825,0.8564,0.9535,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000006_step=000000450000-EMA.ckpt,
baseline,450000,1,1.00,512,nan,0.9247,0.6420,0.8204,0.9247,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000006_step=000000450000-EMA.ckpt,
baseline,450000,2,1.00,512,nan,0.9180,0.6317,0.8169,0.9180,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000006_step=000000450000-EMA.ckpt,
baseline,450000,3,1.00,512,nan,0.9329,0.6693,0.8428,0.9329,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000006_step=000000450000-EMA.ckpt,
baseline,450000,4,1.00,512,nan,0.9244,0.6427,0.8214,0.9244,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000006_step=000000450000-EMA.ckpt,
baseline,450000,5,1.00,512,nan,0.9231,0.6426,0.8192,0.9231,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000006_step=000000450000-EMA.ckpt,
baseline,450000,6,1.00,512,nan,0.9185,0.6457,0.8227,0.9185,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000006_step=000000450000-EMA.ckpt,
baseline,450000,7,1.00,512,nan,0.9204,0.6422,0.8141,0.9204,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000006_step=000000450000-EMA.ckpt,
baseline,450000,8,1.00,512,nan,0.9190,0.6383,0.8150,0.9190,40,none,nan,nan,0,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_v2/checkpoints/chk_epoch=00000006_step=000000450000-EMA.ckpt,
