encoder,Embed dim,RankMe,PR,Dims@95% var,Exact-zero frac,Pert@1A cos,Rotation cos,AA probe acc,Mean-dir baseline,Projector cap (random),Projector (onehot),Mean L2 norm,Dead dims,Within-vs-between Δ
ca-gearnet,512.0,256.4195556640625,37.90605717994701,119.0,4.646536137412571e-08,0.27097279459238055,0.9996779191493989,0.13733333333333334,0.4252946674823761,0.3731323778629303,0.43362876772880554,79.64961242675781,0.0,0.22159977246229537
ca-gearnet-random,512.0,99.77763112386067,1.477323346065808,38.666666666666664,1.5488453791375238e-08,0.9955159310499827,0.999994439681371,0.12650000000000003,0.9516973892847697,0.953321635723114,0.9544817805290222,68.60182698567708,0.0,0.03546229774554573
esm2-650M,1280.0,1030.5048828125,43.322692632751085,993.0,0.0,,,0.998,0.6705347895622253,0.6606349945068359,0.7229561805725098,9.811173439025879,0.0,0.0984965233463328
mc-gearnet-edge,3072.0,11.99057674407959,1.0360631621208987,1.0,0.0,0.781370792388916,0.999746835231781,0.14616666666666667,0.8552173376083374,0.8567055463790894,0.8575522303581238,1476209.0,507.0,0.04289780890507244
pw-gearnet-edge:torsional,3072.0,207.72854614257812,5.5165403430267705,36.0,0.0,0.8474920463562011,0.9999991226196289,0.9281666666666667,0.709739625453949,0.6459795236587524,0.7231460213661194,37.16023254394531,0.0,0.1017202445566654
