run,layer,probe_kind,if_top1_acc,if_macro_f1,dih_mae_phi_deg,dih_mae_psi_deg,dih_mae_total_deg,dist_mae_total,dist_mae_short,dist_mae_medium,dist_mae_long
local_frame,-201,dihedral,,,16.311664581298828,11.708293914794922,14.009979248046875,,,,
random_gauss,-2,dihedral,,,33.570884704589844,83.15730285644531,58.36409378051758,,,,
seq_onehot,-3,dihedral,,,31.750761032104492,75.47411346435547,53.61243724822998,,,,
trained_noise,-29,dihedral,,,33.282440185546875,80.16128540039062,56.72186279296875,,,,
trained_noise,-28,dihedral,,,32.190799713134766,78.93839263916016,55.56459617614746,,,,
trained_noise,-27,dihedral,,,32.2005500793457,78.92514038085938,55.56284523010254,,,,
trained_noise,-26,dihedral,,,32.36248779296875,79.55384063720703,55.95816421508789,,,,
trained_noise,-25,dihedral,,,32.60615539550781,79.39631652832031,56.00123596191406,,,,
trained_noise,-24,dihedral,,,32.77839279174805,79.59764099121094,56.18801689147949,,,,
trained_noise,-23,dihedral,,,32.82243347167969,79.74600982666016,56.28422164916992,,,,
trained_noise,-22,dihedral,,,32.80598449707031,79.68734741210938,56.246665954589844,,,,
trained_noise,-21,dihedral,,,32.664642333984375,79.82734680175781,56.245994567871094,,,,
trained_noise,-20,dihedral,,,32.44947052001953,79.55831146240234,56.00389099121094,,,,
untrained_proteina,-19,dihedral,,,34.90061950683594,84.03608703613281,59.468353271484375,,,,
untrained_proteina,-18,dihedral,,,34.79021453857422,83.99061584472656,59.39041519165039,,,,
untrained_proteina,-17,dihedral,,,34.84321212768555,84.03227996826172,59.43774604797363,,,,
untrained_proteina,-16,dihedral,,,34.791561126708984,84.044677734375,59.41811943054199,,,,
untrained_proteina,-15,dihedral,,,34.75792694091797,83.977783203125,59.367855072021484,,,,
untrained_proteina,-14,dihedral,,,34.6601448059082,84.0539321899414,59.357038497924805,,,,
untrained_proteina,-13,dihedral,,,34.63536071777344,84.06946563720703,59.352413177490234,,,,
untrained_proteina,-12,dihedral,,,34.47697830200195,84.02373504638672,59.250356674194336,,,,
untrained_proteina,-11,dihedral,,,34.452884674072266,84.05170440673828,59.25229454040527,,,,
untrained_proteina,-10,dihedral,,,34.35051345825195,84.07994079589844,59.215227127075195,,,,
