run,step,config_name,ckpt_path,seed,error,_res_PDB_FID,_res_PDB_fJSD_C,_res_PDB_fJSD_A,_res_PDB_fJSD_T,_res_AFDB_FID,_res_AFDB_fJSD_C,_res_AFDB_fJSD_A,_res_AFDB_fJSD_T,_res_fS_C,_res_fS_A,_res_fS_T
repa_l9_256,400000,inference/inference_fid_60m_repa_l9_256_lite,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l9_256_per_residue/checkpoints/chk_epoch=00000025_step=000000400000-EMA.ckpt,42,,553.8384399414062,0.6068374150715482,1.7752940900618344,3.406290185819576,565.1741333007812,0.8695122602951986,1.9575160683177333,3.5994970979613643,1.883928894996643,4.5258636474609375,11.097436904907228
baseline_256,400000,inference/inference_fid_60m_baseline_256_lite,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_baseline_256/checkpoints/chk_epoch=00000021_step=000000400000-EMA.ckpt,42,,803.2531127929688,2.2132756788935564,2.339528802795348,4.8523905064759,787.550048828125,1.4349585103916251,1.5547475869618157,4.695433260719639,1.3055508136749268,2.8878493309021,9.430269241333008
repa_l4_256,400000,inference/inference_fid_60m_repa_l4_256_lite,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_256_per_residue/checkpoints/chk_epoch=00000022_step=000000400000-EMA.ckpt,42,,679.1612548828125,0.6882806722569901,2.683177930939526,4.255540177298121,691.6934204101562,1.1833220356432614,2.8809546213387227,4.514320896175807,1.7822086811065674,3.829655885696411,6.44063663482666
repa_l0_256,400000,inference/inference_fid_60m_repa_l0_256_lite,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l0_256_per_residue/checkpoints/chk_epoch=00000026_step=000000400000-EMA.ckpt,42,,571.6246337890625,0.7163397971190145,1.721447203826376,3.3772294370884133,607.7877197265625,1.101651706641935,2.0635569018251827,3.7029233248105617,1.7650032043457031,4.559863090515137,11.60150909423828
