layer,eff_rank,mean_norm,sparsity
0,61.988407135009766,19.765851974487305,0.0
1,61.23479461669922,21.655187606811523,0.0
2,62.003631591796875,25.643415451049805,0.0
3,69.80463409423828,30.886747360229492,0.0
4,78.82911682128906,37.11918258666992,0.0
5,86.39608764648438,44.63873291015625,0.0
6,87.28358459472656,55.47752380371094,0.0
7,68.1688232421875,78.85181427001953,0.0
